Names,Website,Phone Number,Address,Type,Opens At,Municipio
Luvia cafe,,,"Tercera Avenida Pte. Nte. 17-21, Guadalupe, 30020 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
Restaurante los Delfines,,+52 963 632 3084,"Boulevard, Blvd. Sur Dr. Blisario Domínguez 32, Cruz Grande, 30019 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 9:30a.m.,Comitán de Domínguez
Cenaduria Doña Marina,,+52 963 565 3855,"Miguel Alemán 9, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 6p.m.,Comitán de Domínguez
Restaurante La Comiteca 1948,corntech-landing.web.app,+52 963 632 0241,"Av. Central Sur Dr. B. Dominguez 27, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
Los Portales,,+52 963 632 8238,"Av. Central Sur Dr. B. Dominguez 13, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante mexicano, 7a.m.,Comitán de Domínguez
La Herradura tacos y cortes Comitán,,+52 963 690 3968,"Sexta Avenida Pte. Sur 11, Candelaria, 30060 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 2p.m.,Comitán de Domínguez
Casa Calvario,,+52 963 324 6239,"Calle Central Norte, Central Nte. #7, El Calvario, 30020 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
Restaurant de mariscos y carnes Gladiador,innetshop.com,+52 963 109 8602,"Tercera Calle Sur Pte. 89, Guadalupe, 30020 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 9a.m.,Comitán de Domínguez
PAPAP’S FRENCH FRIES,,+52 963 157 5462,"Belisario Domínguez 5, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Restaurante de comida rápida, Abre a las 4p.m.,Comitán de Domínguez
Restaurante Campestre Bonampak,,+52 963 145 4754,"Ranchería San Antonio Ajayash, 30000 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
Restaurante La Casa Rosada,,+52 963 632 0846,"30000, 2a. Sur Ote. 44, La Pila, 30018 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 11a.m.,Comitán de Domínguez
El macabil,,+52 963 157 7185,"ave. lic, Miguel Alemán, 30029 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 10:30a.m. del lun,Comitán de Domínguez
Los Tulipanes Restaurant,,+52 963 124 2839,"Central Nte., benito juarez, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante, 7a.m.,Comitán de Domínguez
Restaurante Villa Victoria,facebook.com,+52 963 632 0069,"Carr. Internacional 400, Chichima Concepción, Salubridad, 30000 Comitán de Domínguez, Chis., México",Restaurante,,Comitán de Domínguez
"Restaurante ""La Casa del Cangrejo""",,+52 992 108 2789,"7A.AV.SUR PTE. S N JIMENEZ, COLONIA MIGUEL ALEMAN, Cumpata, 30090 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 10a.m.,Comitán de Domínguez
Baja BBQ Pit Comitán,facebook.com,+52 963 632 0520,"Boulevard Norte 35, Santa Cecilia, 30069 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 3p.m.,Comitán de Domínguez
Qué Pensás? Restaurante,,+52 963 159 4458,"30029, San Sebastián, 30029 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
Pepe Peppers Wings Comitan,m.facebook.com,+52 963 101 3568,"Boulevard Belisario Dominguez #8, Central Nte. 59-Local 8, Candelaria, 30060 Comitán de Domínguez, Chis., México",Restaurante de alas de pollo, Abre a las 12p.m.,Comitán de Domínguez
La Quinta Restaurante,,+52 963 178 6922,"16A. Av. Pte. Nte., La Cueva, 30067 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 11a.m.,Comitán de Domínguez
Restaurante Macharnudas,instagram.com,+52 963 110 6103,"Sexta Avenida Pte. Sur 518, Cristóbal Colon, 30068 Comitán de Domínguez, Chis., México",Bar restaurante, Abre a la 1p.m.,Comitán de Domínguez
"Pizzeria ""Due Torri""",facebook.com,+52 963 632 0584,"Central Nte. No. 30, El Calvario, 30020 Comitán de Domínguez, Chis., México",Restaurante italiano, Abre a la 1p.m.,Comitán de Domínguez
Restaurante Alohana,facebook.com,+52 963 688 1845,"4a. Sur Ote. 8, San José, 30000 Comitán de Domínguez, Chis., México",Restaurante, Abre a la 1:30p.m.,Comitán de Domínguez
Restaurant La Pasadita,,+52 963 632 8552,"CHIS 218 8, Las Gardenias, 30038 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 8:30a.m.,Comitán de Domínguez
El Patio De Mi Casa.,,+52 963 252 8787,"Costaba, Calle Sur Pte 1319, Sta Ana Culanchuy, 30065 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 11a.m.,Comitán de Domínguez
Alma restaurante,,+52 963 632 3909,"Calle del Nte. Pte. 4, El Mirador, 30069 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
Restaurante Sal & Pimienta,,+52 963 186 1372,"Primera calle sur pte 10a. Pte . Sur, Ave. Pte . Sur 11a, 30062 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 2p.m.,Comitán de Domínguez
"ZAMNA Desayunos,Botanas,Mariscos,Wings y Drinks",,,"11A. Calle Sur Pte 75, Nicalocok, 30068 Comitán de Domínguez, Chis., México",Restaurante de brunch, Abre a las 9a.m.,Comitán de Domínguez
Los Aguachiles Comitan,,+52 963 330 8649,"2a Poniente Sur #2004, 30063 Comitán de Domínguez, Chis., México",Restaurante familiar, Abre a las 8a.m.,Comitán de Domínguez
La Palapa De Papá,,+52 963 134 5403,"Una cuadra delante de la secundaria de santa ana, 13A. Av. Pte. Sur, Sta Ana Culanchuy, 30065 Comitán de Domínguez, Chis., México",Restaurante familiar, Abre a las 10a.m.,Comitán de Domínguez
La Once Cantina Regional,,,"11A. Calle Sur Pte MZ12 LT34, 28 de Agosto, 30099 Comitán de Domínguez, Chis., México",Bar restaurante, Abre a las 5p.m. del mar,Comitán de Domínguez
Cocteleria Pelícanos,,+52 963 101 4984,"30040, Internacional 54b, Belisario Domínguez Primera Secc, 30090 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 10a.m.,Comitán de Domínguez
Restaurante Casa Blanca,,,"Calle Decimoséptimo Sur Ote., Yalchivol, 30039 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
Restaurant botanero Tío Javi,,,"Calle Segunda Nte. Ote. 6, El Calvario, 30020 Comitán de Domínguez, Chis., México",Restaurante,,Comitán de Domínguez
Las tlayudas,,+52 963 123 8170,"Miguel Hidalgo y Costilla 1, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Restaurante, Abre a la 1p.m.,Comitán de Domínguez
Mercadito Mío,mercaditomio.com.mx,,"Miguel Alemán 14, Miguel Alemán, 30099 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 2p.m.,Comitán de Domínguez
restaurante bar asadero sr. cositia,,,"Primera del Bo. de los Sabinos 23, Los Sabinos, 30070 Comitán de Domínguez, Chis., México",Restaurante,,Comitán de Domínguez
Las Rocas Restaurante,,+52 963 116 6130,"La Esmeralda, 30099 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 10a.m.,Comitán de Domínguez
Restaurante Alis,,+52 963 632 1262,"C. Central Pte. 21, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 8a.m.,Comitán de Domínguez
La 5ta Taquería,facebook.com,+52 963 123 9967,"Quinta Avenida Pte. Nte. 8, Guadalupe, 30020 Comitán de Domínguez, Chis., México",Taquería, Abre a las 9a.m.,Comitán de Domínguez
MAHI MAHI Cocina de Mar,wa.me,+52 963 565 7727,"Calle 14 sur oriente número 512, Yalchivol, 30039 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 11a.m.,Comitán de Domínguez
PRINCE TOWN GASTRO PUB,,+52 963 236 1244,"1 avenida Oriente norte n10 planta alta Enfrente del paraíso de las novias, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante familiar, Abre a las 3:30p.m.,Comitán de Domínguez
Central 47 Mercado Gastronómico,,+52 963 117 2131,"C. Central Pte. 53, Guadalupe, 30020 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 2p.m.,Comitán de Domínguez
El Panal,,+52 963 101 3776,"Quinta Avenida Pte. Nte. 8, Guadalupe, 30020 Comitán de Domínguez, Chis., México",Restaurante, Abre a la 1p.m.,Comitán de Domínguez
COCTELERIA PELÍCANO'S,,+52 963 632 2940,"30099, Agustín García 7, Miguel Alemán, 30000 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 11a.m.,Comitán de Domínguez
Taqueria las Arracheras,,+52 963 182 7004,"Belisario Domínguez Primera Secc, 30039 Comitán de Domínguez, Chis., México",Taquería, Abre a las 5:30p.m.,Comitán de Domínguez
Restaurant Familiar Tío Chepe,,,"Cto. Los Sabinos, Los Sabinos, 30039 Comitán de Domínguez, Chis., México",Restaurante,,Comitán de Domínguez
La parrilla suiza,,+52 961 245 2816,"Cd Cuauhtémoc - Comitán de Domínguez 177, Calzada el Panteón, 30028 Comitán de Domínguez, Chis., México",Restaurante mexicano,,Comitán de Domínguez
Taqueria Zinapecuaro,,+52 963 106 8733,"30069, Comitán de Domínguez -Ciudad Cuauhtémoc 49a, Santa Cecilia, Comitán de Domínguez, Chis., México",Taquería, Abre a las 7:30p.m. del lun,Comitán de Domínguez
El Venado,,+52 963 145 5660,"Blvd. Sur Dr. Blisario Domínguez 32C, Cruz Grande, 30019 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 10a.m.,Comitán de Domínguez
Tello's Restaurant,,+52 963 120 8562,"Quinta Avenida Pte. Sur, Belisario Domínguez Primera Secc, 30040 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 9a.m.,Comitán de Domínguez
340 Jardín Botanero,,+52 963 249 9142,"Blvd. de las Federaciones Km. 175+500, Chichima Concepción, Mariano N. Ruiz, 30093 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 10a.m.,Comitán de Domínguez
Hotel+ Restaurant LUNADA,hotellunada.mx,+52 963 101 4337,"Calle Segunda Nte. Ote. 08, Centro, 30000 Comitán de Domínguez, Chis., México",,,Comitán de Domínguez
Hotel+ Restaurant LUNADA,hotellunada.mx,+52 963 101 4337,"Calle Segunda Nte. Ote. 08, Centro, 30000 Comitán de Domínguez, Chis., México",,,Comitán de Domínguez
Mariscos los güeros,,+52 963 330 8456,"30077 Comitán de Domínguez 250, Mariano N. Ruiz, 30077 Comitán de Domínguez, Chis., México",Restaurante, 7a.m. ,Comitán de Domínguez
Carbón Burgers,,+52 963 142 5597,"Jiménez 32, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 6p.m.,Comitán de Domínguez
"Comitan de dominguez chiapas, méxico",,,"Concepción, Bellavista, 30099 Comitán de Domínguez, Chis., México",Marisquería,,Comitán de Domínguez
El Fogón De La Abuela,,+52 963 269 0974,"Internacional Cdad. Cuauhtémoc 27, Chichima Guadalupe, Los Sabinos, 30093 Comitán de Domínguez, Chis., México",Restaurante, 7a.m.,Comitán de Domínguez
Los Gallos Restaurante De Don Tono Gallo,,+52 963 110 7289,"22A. Sur Pte. 23, Belisario Domínguez Primera Secc, 30040 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 11:10a.m.,Comitán de Domínguez
Rock'n Rolls sucursal fovissste,,+52 963 632 3775,"30099, Vicente Bangogi 19, Libertad, 30000 Comitán de Domínguez, Chis., México",Restaurante japonés, Abre a las 2p.m.,Comitán de Domínguez
El Punto Pizzería,facebook.com,+52 963 106 2050,"Al Panteón 8, San Sebastián, 30029 Comitán de Domínguez, Chis., México",Pizzería,,Comitán de Domínguez
El Punto Pizzería,facebook.com,+52 963 106 2050,"Al Panteón 8, San Sebastián, 30029 Comitán de Domínguez, Chis., México",Pizzería,,Comitán de Domínguez
Restaurante Modelo,,+52 963 632 3981,"Comitan de Dominguez - Ciudad Cuauhtemoc, Cristobal Colon 102, entre OCC Y TELCEL, 30068 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 8a.m.,Comitán de Domínguez
Mitote Antojería,,+52 963 324 6239,"Central Nte. 7, El Calvario, 30020 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
Restaurant Quinto Patio,free.facebook.com,+52 963 632 7196,"AVENIDA CENTRAL SUR, Central Nte. 11, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 7a.m. del lun,Comitán de Domínguez
Big Red Food Truck Comitan,facebook.com,+52 963 162 3138,"Agustín García 8, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Hamburguesería, Abre a las 5p.m.,Comitán de Domínguez
El Rey del Cochito,,+52 963 101 4724,"30068, 11A. Calle Sur Pte 37, Nicalocok, 30068 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
"RESTAURANTE ""YULY""",,+52 963 632 1309,"15A. Sur Pte. 50, Belisario Domínguez Primera Secc, 30040 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 10a.m.,Comitán de Domínguez
Nuestra Gorda,,+52 963 154 3138,"De Abasolo 8, Miguel Alemán, 30099 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
La Parrilla Suiza (Los Tacos De México),,+52 963 129 6325,"Blvd. Sur Dr. Blisario Domínguez 142, Nicalocok, 30068 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
BROSTONS COMITAN,,+52 963 109 6977,"Séptima Avenida Pte. Sur Eje Vial, Cristóbal Colon, 30060 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 4p.m.,Comitán de Domínguez
Pizzeria Artesanal LA ALBAHACA,,+52 963 632 9747,"Quinta Calle Nte. Pte. 137, Santa Cecilia, 30069 Comitán de Domínguez, Chis., México",Pizzería, Abre a las 5:30p.m.,Comitán de Domínguez
pizzeria ArtesanalSanse Bistro,facebook.com,+52 963 101 3427,"Centro, Primera Avenida Ote. Sur #32, Jesusito, 30029 Comitán de Domínguez, Chis., México",Pizzería, Abre a las 4p.m.,Comitán de Domínguez
pizzeria ArtesanalSanse Bistro,facebook.com,+52 963 101 3427,"Centro, Primera Avenida Ote. Sur #32, Jesusito, 30029 Comitán de Domínguez, Chis., México",Pizzería, Abre a las 4p.m.,Comitán de Domínguez
VANINAS SNACK BAR,,+52 963 159 5692,"14/a Sur poniente, Quinta Avenida Pte. Sur esq, 30040 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 3p.m.,Comitán de Domínguez
VANINAS SNACK BAR,,+52 963 159 5692,"14/a Sur poniente, Quinta Avenida Pte. Sur esq, 30040 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 3p.m.,Comitán de Domínguez
Las Tlayudas,,+52 963 123 8170,"Miguel Alemán 17-19, Miguel Alemán, 30099 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 2p.m.,Comitán de Domínguez
Restaurante Macharnudas,,+52 963 110 6674,"Av. Central Sur Dr. B. Dominguez, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 10a.m.,Comitán de Domínguez
La palapa del compaye,,+52 963 181 5760,"Aldama 19, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 12p.m.,Comitán de Domínguez
DailyDonuts Comitán,,+52 963 632 6240,"Blvd. Sur Dr. Blisario Domínguez 79D, Cruz Grande, 30019 Comitán de Domínguez, Chis., México",Cafetería, Abre a las 9a.m.,Comitán de Domínguez
Brisas Del Mar,,,"Tercera Pte. Sur 148, Calzada el Panteón, 30028 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 10a.m.,Comitán de Domínguez
Restaurant Sicaru,,,"Cumpata, 30029 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m. del lun,Comitán de Domínguez
Rock `n Rolls Sushi,,+52 963 223 6205,"Primera Avenida Ote. Nte. 28, Centro, 30018 Comitán de Domínguez, Chis., México",Restaurante de sushi, Abre a las 2p.m.,Comitán de Domínguez
COMITAN,,,"11A. Calle Sur Pte 75, Nicalocok, 30068 Comitán de Domínguez, Chis., México",Bar restaurante, Abre a la 1p.m. del lun,Comitán de Domínguez
Tenok-Te Bistro CAFE,,+52 963 125 2320,"Primera Avenida Ote. Sur, Centro, 30000 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 8a.m.,Comitán de Domínguez
Tacos Señor Rodeo Comitán Lagos,tacosrodeo.com,+52 963 110 6869,"Blv Avenida Central Sur, Blvd. Sur Dr. Blisario Domínguez 11, Candelaria, 30069 Comitán de Domínguez, Chis., México",Taquería, Abre a las 6p.m.,Comitán de Domínguez
El pitayo Comitán - resto & asadero,,,"AVENIDA LA PRIMAVERA, calle sur oriente 18, Yalchivol, 30160 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
El pitayo Comitán - resto & asadero,,,"AVENIDA LA PRIMAVERA, calle sur oriente 18, Yalchivol, 30160 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 9a.m.,Comitán de Domínguez
Palapa gourmet Costabrava,facebook.com,,"5 de Mayo entre Av Pantaleón y Josefa García, Belisario Domínguez Primera Secc, 30040 Comitán de Domínguez, Chis., México",Marisquería, Abre a las 10a.m.,Comitán de Domínguez
PANDA SUSHI MX,,+52 963 182 3080,"Cuarta Calle Sur Pte. 110, Cristóbal Colon, 30068 Comitán de Domínguez, Chis., México",Restaurante de sushi, Abre a las 2:30p.m. del lun,Comitán de Domínguez
La Garnachería,,+52 963 227 5247,"Reforma 5, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Restaurante mexicano, Abre a las 5:30p.m.,Comitán de Domínguez
Sabores de Comitán Suc. Miguel Alemán,sabores-de-comitan.webnode.mx,+52 963 141 6824,"Miguel Hidalgo y Costilla 8, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 5:30p.m.,Comitán de Domínguez
Sabores de Comitán Suc. Miguel Alemán,sabores-de-comitan.webnode.mx,+52 963 141 6824,"Miguel Hidalgo y Costilla 8, Miguel Alemán, 30090 Comitán de Domínguez, Chis., México",Restaurante, Abre a las 5:30p.m.,Comitán de Domínguez
Camaron Caramelo II Comitan De Domínguez,,+52 963 118 3824,"Carr. Internacional s/n, Chichima Concepción, Salubridad, 30077 Comitán de Domínguez, Chis., México",Restaurante mexicano, 7a.m.,Comitán de Domínguez
